"Animalia","Kingdom"
"Chordata","Phylum"
"Mammalia","Class"
"Carnivora","Order"
"Ursidae","Family"
"Ursus","Genus"
"Ursus luteolus","Species"
"Ursus thibetanus","Species"
"Ursus thibetanus laniger","Infraspecies"
"Ursus thibetanus thibetanus","Infraspecies"
"Ursus thibetanus gedrosianus","Infraspecies"
"Ursus thibetanus ussuricus","Infraspecies"
"Ursus thibetanus mupinensis","Infraspecies"
"Ursus thibetanus formosanus","Infraspecies"
"Ursus thibetanus japonicus","Infraspecies"
"Ursus maritimus","Species"
"Ursus maritimus marinus","Infraspecies"
"Ursus maritimus maritimus","Infraspecies"
"Ursus arctos","Species"
"Ursus arctos nelsoni","Infraspecies"
"Ursus arctos beringianus","Infraspecies"
"Ursus arctos pruinosus","Infraspecies"
"Ursus arctos horribilis","Infraspecies"
"Ursus arctos isabellinus","Infraspecies"
"Ursus arctos syriacus","Infraspecies"
"Ursus arctos stikeenensis","Infraspecies"
"Ursus arctos sitkensis","Infraspecies"
"Ursus arctos middendorffi","Infraspecies"
"Ursus arctos lasiotus","Infraspecies"
"Ursus arctos gyas","Infraspecies"
"Ursus arctos dalli","Infraspecies"
"Ursus arctos crowtheri","Infraspecies"
"Ursus arctos collaris","Infraspecies"
"Ursus arctos californicus","Infraspecies"
"Ursus arctos alascensis","Infraspecies"
"Ursus arctos arctos","Infraspecies"
"Ursus americanus","Species"
"Ursus americanus cinnamomum","Infraspecies"
"Ursus americanus amblyceps","Infraspecies"
"Ursus americanus americanus","Infraspecies"
"Ursus americanus eremicus","Infraspecies"
"Ursus americanus emmonsii","Infraspecies"
"Ursus americanus carlottae","Infraspecies"
"Ursus americanus californiensis","Infraspecies"
"Ursus americanus altifrontalis","Infraspecies"
"Ursus americanus luteolus","Infraspecies"
"Ursus americanus perniger","Infraspecies"
"Ursus americanus machetes","Infraspecies"
"Ursus americanus floridanus","Infraspecies"
"Ursus americanus hamiltoni","Infraspecies"
"Ursus americanus kermodei","Infraspecies"
"Ursus americanus pugnax","Infraspecies"
"Ursus americanus vancouveri","Infraspecies"
"Tremarctos","Genus"
"Tremarctos ornatus","Species"
"Melursus","Genus"
"Melursus ursinus","Species"
"Melursus ursinus inornatus","Infraspecies"
"Melursus ursinus ursinus","Infraspecies"
"Helarctos","Genus"
"Helarctos malayanus","Species"
"Helarctos malayanus malayanus","Infraspecies"
"Helarctos malayanus euryspilus","Infraspecies"
"Ailuropoda","Genus"
"Ailuropoda melanoleuca","Species"
" "," "
" "," "
" "," "
