,,Appearance,Behaviour,Where and when,Description
97510,24,"Glanzend zwart, van dichtbij met blauwe of groene glans. Kop wit gestreept, kort kuifje. Jongen bruin, vaak met witte buik.",Staat bovenop een paal of op de oever met vleugels gespreid. Zwemt en duikt veel.,"Bij water, ook aan de kust. Bijna hele jaar.","<p><span class=""label"">Vliegende duikboot </span>Alle watervogels vetten hun veren in. Dankzij het vet blijven hun veren droog en drijven ze beter. Aalscholvers vetten hun veren niet in en daardoor worden hun veren nat. Na het duiken moeten ze die dus droogwapperen in de wind. Ook al zijn aalscholvers groot en zwaar en hebben ze natte veren, ze kunnen erg goed vliegen. Dat doen ze met snelle, ondiepe vleugelslagen. Groepen aalscholvers vliegen in een slordige rij, als ‘V’ of als ordeloze groep, niet in een strakke V zoals eenden of ganzen.</p>"
97511,24,"Groot, wit, met zwartgroene kop en roze poten. Bruine borstband, zwarte rugstrepen. Rode snavel, bij mannetje met knobbel.","Zwemt, staat op oevers of in weilanden. Soms in grote groepen.","Open water, duinen, strand, langs modderkust, soms ver van de oever. Hele jaar.","<p><span class=""label"">Witte holbewoner </span>Een bergeend bouwt zijn nest het liefst in een konijnenhol. Toch komen bergeenden ook graag in weilanden, omdat ze in de sloten veel voedsel vinden. In de weilanden leven wel hazen, maar geen konijnen, dus er zijn geen geschikte holen te vinden. Als de bergeenden er toch willen broeden, moeten ze op zoek naar een plank op de grond of een rommelhoek bij een schuurtje, waar ze hun nest onder bouwen.</p>"
97512,24,"Grijsblauw, lange poten en stevige lange snavel. Jongen minder duidelijk gekleurd dan volwassen vogels.","Staat met opgetrokken schouders langs waterkant of waadt statig in ondiep water. In vlucht met grote, brede, afgeronde vleugels.","Altijd bij water, soms verscholen tussen bladeren. Hele jaar.","<p><span class=""label"">Muizenval </span>Blauwe reigers eten graag vis of kikkers, maar ze zijn ook verzot op woelmuizen, ratten en mollen. Die dieren vangen ze langs de waterkant of in weilanden. Je ziet vaak een blauwe reiger heel stil in een weiland staan, loerend naar de grond. Hij heeft dan een hol van een mol of muis gevonden en wacht met eindeloos geduld tot hij de bewoner met een snelle snavelstoot kan vangen.</p>"
97513,24,"Bruin met witte en beige stippels en streepjes. Lange kromme snavel, lange bruine staart. Onderzijde wit, flanken en onderstaart lichtbruin.",Kruipt met kleine rukjes langs boomstammen omhoog. Vliegt naar volgende boom en zoekt van onderaf opnieuw.,"Bij dikke bomen, bijvoorbeeld in stadsparken. Hele jaar.","<p><span class=""label"">Tam maar voorzichtig </span>Als een boomkruiper niet verstoord wordt, kruipt hij vaak in een spiraal langs de boomstam omhoog. Kom je dichterbij, dan zoekt hij gewoon door, maar alleen aan de achterkant van de stam. Soms zie je nog een glimp van hem als hij al heel hoog in de boom zit. Boomkruipers zie je niet zo vaak, maar ze zijn niet zeldzaam. Daar kom je achter in de lente, als je ze overal waar grote bomen staan hoort zingen. Je moet dan natuurlijk wel het korte, hoge oplopende liedje kennen.</p>"
97514,24,"Bijna altijd bruin van boven en lichter van onderen, met een donkere borst, maar verenkleed heel variabel. Soms van boven bijna wit.",Zit op paaltjes. Vliegt bij zonnig weer rondjes boven territorium en laat dan miauwende roep horen.,In bosgebieden en weilanden.,"<p><span class=""label"">Onhandige vogelvanger </span>Roofvogels hebben uitstekende ogen en kunnen hun prooi al van heel grote afstand ontdekken. Veel mensen denken dat alle roofvogels op vogels jagen, maar dat is niet zo: buizerds eten vooral muizen, mollen en ratten. Een actief jagende buizerd zit doodstil op een paaltje tot hij er een zien bewegen. Dan vliegt hij er in glijvlucht op af en knijpt zijn prooi dood met zijn klauwen. Dat hij geen goede vogelvanger is kun je zien aan zijn vleugels en poten: met zijn brede en lange vleugels kan hij slecht een vogel achtervolgen, terwijl hij met zijn korte tenen en nagels maar moeilijk door een beschermend verenpak heen knijpt.</p>"
97515,24,"Groot, bruin, lange, zwarte hals en witte keelband.",Graast in familiegroepjes of grotere groepen. Kan goed zwemmen. Roept zijn trompetterende roep vooral in vlucht.,Weilanden of op het gras in stadsparken. 's Winters vaak buiten de stad en gemengd met andere ganzensoorten. Hele jaar.,"<p><span class=""label"">Oceaanganger, of toch niet? </span>De Canadese gans komt, zoals de naam al doet vermoeden, oorspronkelijk uit Canada. Watervogelliefhebbers houden deze ganzen graag en er zijn er per ongeluk ooit een paar ontsnapt. Of expres losgelaten natuurlijk. Die ganzen hadden het hier zo naar hun zin, dat ze in nu ons land broeden. Ook in andere Europese landen zijn Canadese ganzen ingevoerd, maar een heel enkele keer gebeurt het wel dat echte wilde Canadese ganzen op eigen kracht vanuit Noord-Amerika de Atlantische Oceaan overvliegen. Tegenwoordig zijn er ontzettend veel Canadese ganzen in Nederland, maar lang niet overal. Op sommige plaatsen struikel je erover, ook in de stad, terwijl je ze ergens anders nooit zal zien.</p>"
97516,24,"Zwart-wit, met lange zwarte staart. Zwart op staart en schouders met blauwe of groene glans.","In de buurt van bomen. Zit bovenin een boom, of zoekt voedsel op de grond. Bijna altijd met z'n tweeën.","Stadsparken, tuinen, straten met hoge bomen. Hele jaar.","<p><span class=""label"">Superbouwer </span>Eksters maken een groot bolvormig nest van takjes dat heel opvallend bovenin een boom zit. Zo hoog dat iedereen het kan zien, maar niemand erbij kan. Bovendien maken ze er een dakje overheen en dat doet bijna geen enkele andere vogel in ons land. Eksters gebruiken het liefst takjes met stekels, bijvoorbeeld van meidoorns. Zo wordt het helemaal moeilijk voor andere dieren om in te breken. Als je goed kijkt, zie je dat er meer eksternesten zijn dan eksterpaartjes. Dat komt omdat eksters vaak meer nesten bouwen. De extra nesten worden speelnesten genoemd, maar eksters spelen er niet in. Waarom ze al die andere nesten bouwen is de vraag.</p>"
97517,24,"Haan koperkleurig met witte en zwarte spikkels, kop groen, rode 'bril', witte nekring. Hen bruin met zwarte vlekjes. Beide met lange puntstaart.",Loopt langs bosjes of rietkraag. Holt bij verstoring snel begroeiing in. Vliegt zelden.,"Rietkragen, bosranden, akkers, duinen. Hele jaar.","<p><span class=""label"">Bergbewoner in de polder </span>Fazanten bewonen een groot gebied, vanaf de Kaukasus tot in China. De ondersoort met witte kraag is honderden jaren geleden in West-Europa ingevoerd voor de jacht. Fazanten zijn dus al heel lang gekweekt. In de lente werden de grote kuikens losgelaten en vervolgens de hele zomer op hetzelfde plekje bijgevoerd. In de herfst gingen de jagers bij de voederplaatsen zitten en schoten de fazanten weer af. Gelukkig gebeurt dit niet meer. Fazanten leken altijd heel algemeen te zijn in ons land, maar dat was maar schijn. Sinds ze niet meer worden losgelaten, zijn ze schaars geworden. De bergbewoner houdt dus niet zo van ons land zoals het altijd leek.</p>"
97518,24,"Bruin en wit, lange hals en snavel. 's Zomers met zwartbruine kraag, zwarte oorpluimen, zwarte snavel, 's winters zonder kraag en pluimen, met roze snavel.",Zwemt of duikt. Nooit op de oever.,"Parkvijvers, grachten, meren. 's Winters ook op zee, dan vaak in groepen.","<p><span class=""label"">Waterballet </span>Mannetje en vrouwtje fuut zien er hetzelfde uit. In de lente worden ze verliefd op elkaar. Hoe weten ze dat ze goed bij elkaar passen? Om daar achter te komen bieden ze elkaar cadeautjes aan: rottende waterplanten. Die duiken ze van de bodem op en geven ze aan elkaar, met knikkende, dansende bewegingen en veel kopschudden. Soms raken ze er zelf zo opgewonden van, dat ze zij aan zij over het water gaan racen. Van de waterplanten bouwen ze hun nest, dat als een eilandje middenin het water drijft. Ver van de oever zijn ze veilig voor dieren die wel een eitje lusten. Om te voorkomen dat het nest wegdrijft, maken ze het onder water vast aan de bodem.</p>"
97519,24,"Rozebruin, vleugels en staart zwart, stuit wit. Vleugel met witte en blauwe vlek. Zwarte ‘snor’ en gestreepte kruin.",Schuw. Zoekt hippend op de grond naar voedsel. Verzamelt vaak eikels.,"Bijna altijd in bos, maar ook in grote tuinen of stadsparken. Hele jaar.","<p><span class=""label"">Wat een eikel </span> Gaaien eten heel graag eikels. Die lusten ze zelfs zo graag, dat ze die het liefst het hele jaar eten. Dat kan natuurlijk niet, want eikels zijn er alleen vanaf de nazomer tot in de herfst. Om er toch wat langer van te genieten, verzamelen de vogels de eikels en verstoppen ze op een geheim plekje in de grond. Ze verstoppen er honderden. In de herfst zie je dus heel vaak gaaien met een eikel in hun snavel rondvliegen. De vogels hebben een heel goed geheugen, maar gelukkig vinden ze die eikels niet allemaal terug. Niet gevonden eikels lopen uit en groeien op tot nieuwe eiken. Echte bosbouwers dus, die gaaien!</p>"
